Field,total,mismatch_count,accuracy_rate
channel,22,8,63.64%
to.name,22,4,81.82%
date,22,4,81.82%
transaction_references.0,22,4,81.82%
amount,22,4,81.82%
cancel_amount_requested,22,0,100.00%
can_be_located,22,4,81.82%
currency,22,4,81.82%
from.name,22,4,81.82%
to.bank,22,4,81.82%
from.account_number,22,4,81.82%
to.account_number,22,5,77.27%
from.bank,22,4,81.82%
