Field,total,mismatch_count,accuracy_rate
currency,106,23,78.30%
date,106,35,66.98%
from.account_number,98,32,67.35%
to.account_number,106,34,67.92%
from.name,102,40,60.78%
from.bank,98,38,61.22%
to.bank,106,43,59.43%
transaction_references.0,106,23,78.30%
channel,101,20,80.20%
can_be_located,106,23,78.30%
to.name,106,50,52.83%
amount,106,26,75.47%
cancel_amount_requested,58,3,94.83%
