step,loss
1,0.0006130082419986138
2,0.01171646537113702
3,0.0026720045498223044
4,0.0016910492950046319
5,0.007479259916181036
6,7.41862481845601e-05
7,0.0005178317778700148
8,0.0020174575902274228
9,0.001020589563268004
10,0.0034798823990058736
11,0.0005472280026879162
12,0.00021785430612908385
13,0.00015562282806058647
14,1.0532007195251936e-05
15,3.916009234217199e-06
16,2.5451111440588647e-06
17,6.139268542426635e-07
18,1.0967237571435362e-06
19,6.79492137223292e-07
20,4.464247602697924e-06
21,0.0
22,0.0
23,7.271760367189017e-07
24,3.5762756134261053e-07
25,3.3735550175606477e-06
26,6.020063949563337e-07
27,2.9802296808156825e-07
28,2.855017271485849e-06
29,6.335856141959084e-06
30,2.1695685941125475e-06
31,2.670234627188961e-06
32,2.5033932615770027e-07
33,5.364413766528742e-07
34,2.0861245015879604e-06
35,2.28878262653609e-06
36,2.801416414399682e-07
37,2.205370464025691e-07
38,2.5033587292000448e-06
39,1.97883900909801e-06
40,0.0
41,2.2947507147819124e-06
42,1.9430769953032723e-06
43,2.56299756529188e-07
44,2.384183943604512e-07
45,2.199377405531777e-06
46,1.7881392366803084e-08
47,2.169574829125054e-06
48,4.88757692096442e-07
