Field,total,mismatch_count,accuracy_rate
to.name,22,1,95.45%
to.account_number,22,1,95.45%
from.bank,22,1,95.45%
can_be_located,22,1,95.45%
currency,22,1,95.45%
date,22,2,90.91%
cancel_amount_requested,22,0,100.00%
amount,22,1,95.45%
from.account_number,22,0,100.00%
channel,22,10,54.55%
from.name,22,0,100.00%
to.bank,22,1,95.45%
transaction_references.0,22,1,95.45%
rematch_note,22,1,95.45%
original_amount,22,1,95.45%
