step,loss
1,0.026869416469708085
2,0.01442572521045804
3,0.004373797099106014
4,0.25986908903723815
5,0.0005895811518712435
6,7.778335202601738e-06
7,6.973735224846678e-07
8,2.139794545996665e-06
9,5.960449005470991e-07
10,0.014953541569402873
11,0.0
12,2.443787234795991e-07
13,0.0
14,3.379510275181019e-06
15,2.5868115329785724e-06
16,1.3113006502862845e-07
17,5.662424626962093e-07
18,0.0
19,1.0132779237892464e-07
20,8.106201789814804e-07
21,0.0
22,2.4437863999082765e-07
23,1.4901138456480112e-07
24,0.0
25,2.205368616614578e-07
26,2.324577224044333e-07
27,1.2516959202457656e-07
28,0.0
29,5.543225256587903e-07
30,7.152551972922083e-08
31,6.020060023814722e-07
32,1.966951117537974e-07
33,9.4175193510182e-07
34,0.0
35,2.3841833396431866e-07
36,0.0
37,1.8477422258911247e-07
38,5.960464122267695e-09
39,2.801415632802673e-07
40,0.0
41,6.556506093602366e-08
42,7.152551972922083e-08
43,7.152551972922083e-08
44,2.801415686093378e-07
45,1.1324870285989164e-07
46,4.649158338310144e-07
47,0.0
48,0.0
49,3.2186479437257276e-07
50,1.0132779237892464e-07
51,7.152551972922083e-08
52,0.0
53,0.0
54,2.6226018690067576e-07
55,1.0132779237892464e-07
56,1.1324870285989164e-07
57,4.1723210131294763e-07
58,1.3709056645438977e-07
59,6.556506093602366e-08
60,5.483623084501232e-07
61,2.086160719727559e-07
62,7.152551972922083e-08
63,6.556506093602366e-08
64,3.576275773298221e-07
65,1.1324870285989164e-07
66,2.7418113290877955e-07
67,0.0
68,6.556506093602366e-08
69,1.3709056645438977e-07
70,0.0
71,1.3709055224353506e-07
72,2.3841836593874177e-07
73,3.457065957945815e-07
74,3.2782527625840885e-07
75,3.9935075335506554e-07
76,5.960464122267695e-09
77,6.556506093602366e-08
78,7.748598918055905e-08
79,5.125994562149572e-07
80,1.9073470980401908e-07
81,0.0
82,1.0728825650119234e-07
83,1.0132779237892464e-07
84,4.053112334645448e-07
85,7.152551972922083e-08
86,0.0
87,3.0398344108562014e-07
88,0.0
89,6.556507337052153e-08
90,2.56299756529188e-07
91,1.3709055224353506e-07
92,3.3974619206844636e-07
93,1.1324870285989164e-07
94,0.0
95,1.1324870285989164e-07
96,1.1324870285989164e-07
97,0.0
98,1.8477425811624926e-07
99,6.556506093602366e-08
