Field,total,mismatch_count,accuracy_rate
fraud_type,60,37,38.33%
police_reference,22,7,68.18%
police_team,22,6,72.73%
to.name,17,17,0.00%
amount,17,17,0.00%
can_be_located,17,17,0.00%
to.bank,11,11,0.00%
from.bank,12,12,0.00%
date,17,17,0.00%
from.account_number,15,15,0.00%
currency,17,17,0.00%
channel,14,14,0.00%
to.account_number,16,16,0.00%
from.name,14,14,0.00%
writ_no,6,2,66.67%
contact_person,6,2,66.67%
cancel_amount_requested,3,3,0.00%
