Field,total,mismatch_count,accuracy_rate
fraud_type,60,34,43.33%
police_reference,22,13,40.91%
police_team,22,9,59.09%
remitting_bank,1,1,0.00%
amount,8,8,0.00%
depositor_account_name,1,1,0.00%
date,8,8,0.00%
currency,6,6,0.00%
depositor_account_number,1,1,0.00%
transferor_bank_account,2,2,0.00%
writ_no,6,2,66.67%
contact_person,6,3,50.00%
to.name,2,2,0.00%
to.bank,2,2,0.00%
from.bank,1,1,0.00%
from.account_number,1,1,0.00%
to.account_number,2,2,0.00%
from.name,1,1,0.00%
transferor_bank_and_account,2,2,0.00%
can_be_located,1,1,0.00%
channel,1,1,0.00%
cancel_amount_requested,1,1,0.00%
