Field,total,mismatch_count,accuracy_rate
date,119,38,68.07%
amount,119,39,67.23%
currency,119,38,68.07%
from.name,119,57,52.10%
from.account_number,119,34,71.43%
from.bank,119,73,38.66%
to.name,119,83,30.25%
to.account_number,119,38,68.07%
to.bank,119,40,66.39%
channel,119,29,75.63%
can_be_located,119,38,68.07%
transaction_references.0,119,38,68.07%
cancel_amount_requested,119,2,98.32%
