Type,Field,total,mismatch_count,accuracy_rate,Model
HSBC Referral,from.bank,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,from.name,38,5,86.84%,cycle3_32Bv2_full60
HSBC Referral,to.account_number,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,to.bank,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,to.name,38,1,97.37%,cycle3_32Bv2_full60
HSBC Referral,transaction_references.0,38,0,100.00%,cycle3_32Bv2_full60
ODFT,amount,6,0,100.00%,cycle3_32Bv2_full60
ODFT,can_be_located,6,0,100.00%,cycle3_32Bv2_full60
ODFT,cancel_amount_requested,6,0,100.00%,cycle3_32Bv2_full60
ODFT,channel,6,0,100.00%,cycle3_32Bv2_full60
ODFT,currency,6,0,100.00%,cycle3_32Bv2_full60
ODFT,date,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.account_number,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.bank,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.name,6,1,83.33%,cycle3_32Bv2_full60
ODFT,to.account_number,6,0,100.00%,cycle3_32Bv2_full60
ODFT,to.bank,6,0,100.00%,cycle3_32Bv2_full60
ODFT,to.name,6,0,100.00%,cycle3_32Bv2_full60
ODFT,transaction_references.0,6,0,100.00%,cycle3_32Bv2_full60
Police Letter,amount,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,can_be_located,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,cancel_amount_requested,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,channel,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,currency,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,date,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,from.account_number,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,from.bank,14,2,85.71%,cycle3_32Bv2_full60
Police Letter,from.name,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,to.account_number,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,to.bank,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,to.name,14,1,92.86%,cycle3_32Bv2_full60
Police Letter,transaction_references.0,14,0,100.00%,cycle3_32Bv2_full60
Search Warrant,amount,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,can_be_located,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,cancel_amount_requested,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,channel,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,currency,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,date,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,from.account_number,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,from.bank,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,from.name,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,to.account_number,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,to.bank,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,to.name,6,0,100.00%,cycle3_32Bv2_full60
Search Warrant,transaction_references.0,6,0,100.00%,cycle3_32Bv2_full60
UAR,amount,18,3,83.33%,cycle3_32Bv2_full60
UAR,can_be_located,18,3,83.33%,cycle3_32Bv2_full60
UAR,cancel_amount_requested,18,1,94.44%,cycle3_32Bv2_full60
UAR,channel,18,6,66.67%,cycle3_32Bv2_full60
UAR,currency,18,3,83.33%,cycle3_32Bv2_full60
UAR,date,18,3,83.33%,cycle3_32Bv2_full60
UAR,from.account_number,18,2,88.89%,cycle3_32Bv2_full60
UAR,from.bank,18,10,44.44%,cycle3_32Bv2_full60
UAR,from.name,18,2,88.89%,cycle3_32Bv2_full60
UAR,to.account_number,18,3,83.33%,cycle3_32Bv2_full60
UAR,to.bank,18,3,83.33%,cycle3_32Bv2_full60
UAR,to.name,18,3,83.33%,cycle3_32Bv2_full60
UAR,transaction_references.0,18,2,88.89%,cycle3_32Bv2_full60
ADCC,amount,20,0,100.00%,cycle2_final32B_full60
ADCC,can_be_located,20,0,100.00%,cycle2_final32B_full60
ADCC,cancel_amount_requested,20,0,100.00%,cycle2_final32B_full60
ADCC,channel,20,9,55.00%,cycle2_final32B_full60
ADCC,currency,20,0,100.00%,cycle2_final32B_full60
ADCC,date,20,2,90.00%,cycle2_final32B_full60
ADCC,from.account_number,20,0,100.00%,cycle2_final32B_full60
ADCC,from.bank,20,3,85.00%,cycle2_final32B_full60
ADCC,from.name,20,2,90.00%,cycle2_final32B_full60
ADCC,to.account_number,20,0,100.00%,cycle2_final32B_full60
ADCC,to.bank,20,1,95.00%,cycle2_final32B_full60
ADCC,to.name,20,0,100.00%,cycle2_final32B_full60
ADCC,transaction_references.0,20,0,100.00%,cycle2_final32B_full60
HSBC Referral,amount,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,can_be_located,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,cancel_amount_requested,39,0,100.00%,cycle2_final32B_full60
HSBC Referral,channel,39,6,84.62%,cycle2_final32B_full60
HSBC Referral,currency,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,date,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,from.account_number,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,from.bank,39,39,0.00%,cycle2_final32B_full60
HSBC Referral,from.name,39,17,56.41%,cycle2_final32B_full60
HSBC Referral,to.account_number,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,to.bank,39,2,94.87%,cycle2_final32B_full60
HSBC Referral,to.name,39,37,5.13%,cycle2_final32B_full60
HSBC Referral,transaction_references.0,39,2,94.87%,cycle2_final32B_full60
ODFT,amount,6,1,83.33%,cycle2_final32B_full60
ODFT,can_be_located,6,1,83.33%,cycle2_final32B_full60
ODFT,cancel_amount_requested,6,0,100.00%,cycle2_final32B_full60
ODFT,channel,6,1,83.33%,cycle2_final32B_full60
ODFT,currency,6,1,83.33%,cycle2_final32B_full60
ODFT,date,6,1,83.33%,cycle2_final32B_full60
ODFT,from.account_number,6,1,83.33%,cycle2_final32B_full60
ODFT,from.bank,6,3,50.00%,cycle2_final32B_full60
ODFT,from.name,6,2,66.67%,cycle2_final32B_full60
ODFT,to.account_number,6,1,83.33%,cycle2_final32B_full60
ODFT,to.bank,6,2,66.67%,cycle2_final32B_full60
ODFT,to.name,6,2,66.67%,cycle2_final32B_full60
ODFT,transaction_references.0,6,1,83.33%,cycle2_final32B_full60
Police Letter,amount,14,0,100.00%,cycle2_final32B_full60
Police Letter,can_be_located,14,0,100.00%,cycle2_final32B_full60
Police Letter,cancel_amount_requested,14,0,100.00%,cycle2_final32B_full60
Police Letter,channel,14,0,100.00%,cycle2_final32B_full60
Police Letter,currency,14,0,100.00%,cycle2_final32B_full60
Police Letter,date,14,0,100.00%,cycle2_final32B_full60
Police Letter,from.account_number,14,0,100.00%,cycle2_final32B_full60
Police Letter,from.bank,14,2,85.71%,cycle2_final32B_full60
Police Letter,from.name,14,0,100.00%,cycle2_final32B_full60
Police Letter,to.account_number,14,0,100.00%,cycle2_final32B_full60
Police Letter,to.bank,14,0,100.00%,cycle2_final32B_full60
Police Letter,to.name,14,1,92.86%,cycle2_final32B_full60
Police Letter,transaction_references.0,14,0,100.00%,cycle2_final32B_full60
Search Warrant,amount,6,0,100.00%,cycle2_final32B_full60
Search Warrant,can_be_located,6,0,100.00%,cycle2_final32B_full60
Search Warrant,cancel_amount_requested,6,0,100.00%,cycle2_final32B_full60
Search Warrant,channel,6,0,100.00%,cycle2_final32B_full60
Search Warrant,currency,6,0,100.00%,cycle2_final32B_full60
Search Warrant,date,6,0,100.00%,cycle2_final32B_full60
Search Warrant,from.account_number,6,0,100.00%,cycle2_final32B_full60
Search Warrant,from.bank,6,0,100.00%,cycle2_final32B_full60
Search Warrant,from.name,6,0,100.00%,cycle2_final32B_full60
Search Warrant,to.account_number,6,0,100.00%,cycle2_final32B_full60
