Field,total,mismatch_count,accuracy_rate
currency,111,30,72.97%
date,108,40,62.96%
from.account_number,99,34,65.66%
to.account_number,109,38,65.14%
from.name,101,45,55.45%
from.bank,99,53,46.46%
to.bank,108,58,46.30%
transaction_references.0,108,27,75.00%
channel,102,38,62.75%
can_be_located,111,30,72.97%
to.name,109,52,52.29%
amount,111,36,67.57%
cancel_amount_requested,45,4,91.11%
