Field,total,mismatch_count,accuracy_rate
to.name,36,18,50.00%
to.account_number,36,19,47.22%
from.bank,36,14,61.11%
can_be_located,36,18,50.00%
currency,36,18,50.00%
date,36,21,41.67%
cancel_amount_requested,36,0,100.00%
amount,36,18,50.00%
from.account_number,36,15,58.33%
channel,36,18,50.00%
from.name,36,14,61.11%
to.bank,36,18,50.00%
transaction_references.0,36,18,50.00%
