Field,total,mismatch_count,accuracy_rate
channel,105,52,50.48%
transaction_references.0,105,47,55.24%
from.account_number,105,51,51.43%
amount,105,51,51.43%
to.bank,105,55,47.62%
can_be_located,105,55,47.62%
to.name,105,64,39.05%
from.name,105,59,43.81%
currency,105,52,50.48%
from.bank,105,56,46.67%
to.account_number,105,51,51.43%
date,105,50,52.38%
cancel_amount_requested,105,6,94.29%
